,cow_id,breed_event_id,first_recheck_DSLB,resolution_DSLB,days_to_resolution,samples_to_resolution,final_status
236,13319.0401430.0,13319.0401430.0_2023_6_3,36,36,0,2,rc_open
237,13340.0401430.0,13340.0401430.0_2023_7_2,36,36,0,2,rc_open
238,13344.0401430.0,13344.0401430.0_2023_6_3,36,36,0,1,rc_open
239,13345.0401430.0,13345.0401430.0_2022_2_1,28,28,0,2,rc_open
240,13358.0401430.0,13358.0401430.0_2023_9_4,37,37,0,1,rc_open
241,1337.0401430.0,1337.0401430.0_2023_10_1,36,36,0,2,rc_preg
242,13384.0401430.0,13384.0401430.0_2023_3_1,36,36,0,2,rc_open
243,13393.0401430.0,13393.0401430.0_2023_9_3,37,37,0,2,rc_loss
244,13397.0401430.0,13397.0401430.0_2022_2_1,29,29,0,2,rc_open
245,13400.0401430.0,13400.0401430.0_2022_6_1,39,39,0,6,rc_preg
246,13401.0401430.0,13401.0401430.0_2024_7_4,71,71,0,2,rc_open
247,13411.0401430.0,13411.0401430.0_2023_6_3,41,41,0,7,rc_open
248,13421.0401430.0,13421.0401430.0_2024_7_5,71,71,0,2,rc_open
249,13427.0401430.0,13427.0401430.0_2025_6_4,35,35,0,2,rc_open
250,13438.0401430.0,13438.0401430.0_2025_4_3,77,77,0,2,rc_preg
251,13440.0401430.0,13440.0401430.0_2025_6_3,36,36,0,3,rc_preg
252,13441.0401430.0,13441.0401430.0_2022_6_1,41,41,0,3,rc_preg
253,13449.0401430.0,13449.0401430.0_2025_5_3,34,34,0,3,rc_open
254,13453.0401430.0,13453.0401430.0_2025_5_4,34,34,0,3,rc_open
255,13465.0401430.0,13465.0401430.0_2023_7_3,38,38,0,3,rc_preg
256,13471.0401430.0,13471.0401430.0_2023_2_2,36,36,0,3,rc_preg
257,13475.0401430.0,13475.0401430.0_2023_3_2,36,36,0,2,rc_open
258,13477.0401430.0,13477.0401430.0_2023_7_3,41,41,0,4,rc_open
259,13486.0401430.0,13486.0401430.0_2022_5_2,35,35,0,2,rc_loss
260,13508.0401430.0,13508.0401430.0_2025_5_6,40,40,0,2,rc_open
261,13512.0401430.0,13512.0401430.0_2022_7_2,41,41,0,3,rc_preg
262,13516.0401430.0,13516.0401430.0_2022_7_2,35,35,0,2,rc_open
263,13519.0401430.0,13519.0401430.0_2025_4_3,35,35,0,5,rc_open
264,13520.0401430.0,13520.0401430.0_2022_8_1,39,39,0,1,rc_open
265,13527.0401430.0,13527.0401430.0_2025_1_4,38,38,0,1,rc_open
266,13538.0401430.0,13538.0401430.0_2024_11_8,36,36,0,2,rc_open
